Thread ID: 70235269057760
Total: 3.003410
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000       10   Hash#keys 
  0.00      0.000     0.000     0.000     0.000        1   Settingslogic#create_accessors! 
  0.00      0.000     0.000     0.000     0.000        1   <Class::NixonPi::SpeechDriver>#instance 
  0.00      0.000     0.000     0.000     0.000       10   Hash#empty? 
  0.00      0.000     0.000     0.000     0.000        2   String#rjust 
  0.00      0.000     0.000     0.000     0.000        1   <Class::NixonPi::Settings>#power_pin 
  0.00      0.000     0.000     0.000     0.000        3   String#to_s 
  0.00      0.000     0.000     0.000     0.000        3   String#=== 
  0.00      2.518     0.000     0.000     2.518        1   <Class::NixonPi::MachineManager>#join_threads 
  0.00      0.000     0.000     0.000     0.000        2   <Class::Array>#allocate 
  0.00      0.000     0.000     0.000     0.000        1   String#[]= 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#=== 
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#dirname 
  0.00      0.000     0.000     0.000     0.000        1   BasicObject#== 
  0.00      0.000     0.000     0.000     0.000        1   Module#=== 

* indicates recursively called methods
Thread ID: 70235290427360
Total: 2.977073
Sort by: self_time

 %self      total      self      wait     child     calls  name
  7.04      0.406     0.210     0.000     0.196    30968   Array#select 
  6.81      0.203     0.203     0.000     0.000   272734   String#=== 
  4.43      0.132     0.132     0.000     0.000    86142   Gem::Dependency#type 
  3.67      0.164     0.109     0.000     0.055     5880   Gem::Version#<=> 
  3.26      0.119     0.097     0.000     0.022     1568   BasicObject#method_missing 
  2.83      0.535     0.084     0.000     0.450    30968   Gem::Specification#runtime_dependencies 
  2.17      0.065     0.065     0.000     0.000    86242   Symbol#== 
  1.66      1.205     0.049     0.000     1.156    30282   Enumerable#find_all 
  1.65      0.049     0.049     0.000     0.000    15166   <Class::File>#file? 
  1.50      0.045     0.045     0.000     0.000    30968   Gem::Specification#dependencies 
  0.90      0.027     0.027     0.000     0.000    33813   Array#empty? 
  0.76      0.023     0.023     0.000     0.000    25299   Module#=== 
  0.72      0.168     0.022     0.000     0.146     5042   Gem::Specification#contains_requirable_file? 
  0.67      0.030     0.020     0.000     0.010    12250   Gem::Version#segments 
  0.46      0.014     0.014     0.000     0.000      882   Array#pop 
  0.35      0.209     0.010     0.000     0.199     3430   Proc#call 
  0.33      0.012     0.010     0.000     0.002     2646   <Module::Gem>#platforms 
  0.32      0.066     0.010     0.000     0.056      882   Gem::Version#bump 
  0.29      0.009     0.009     0.000     0.000     5042   Gem::Specification#full_gem_path 
  0.26      0.034     0.008     0.000     0.026     2646   <Class::Gem::Platform>#match 
  0.26      0.008     0.008     0.000     0.000     5056   <Module::Gem>#suffixes 
  0.25      0.045     0.007     0.000     0.038     1078   Array#reject! 
  0.22      0.232     0.007     0.000     0.226     2842   Gem::Requirement#satisfied_by? 
  0.22      0.068     0.006     0.000     0.062     1078   Enumerable#sort_by 
  0.21      1.228     0.006     0.000     1.222     1078   Gem::Dependency#matching_specs 
  0.21      0.022     0.006     0.000     0.016     3528   Enumerable#any? 
  0.20      0.052     0.006     0.000     0.046     1568   Array#<=> 
  0.19      0.006     0.006     0.000     0.000     5970   Fixnum#<=> 
  0.18      1.258     0.005     0.000     1.253     1180   <Class::Gem::Specification>#each 
  0.18      0.015     0.005     0.000     0.010      882   Gem::Version#initialize 
  0.18      0.075     0.005     0.000     0.070     2842   Comparable#>= 
  0.17      0.005     0.005     0.000     0.000     2842   Gem::Dependency#requirement 
  0.17      0.226     0.005     0.000     0.221     2842   Enumerable#all? 
  0.17      0.743     0.005     0.000     0.737     1078   Proc#[] 
  0.17      1.234     0.005     0.000     1.229     1078   Gem::Dependency#to_specs 
  0.17      0.700     0.005     0.003     0.692     1078   Gem::Specification#conflicts 
  0.15      0.005     0.005     0.000     0.000     2646   Gem::Specification#sort_obj 
  0.15      0.004     0.004     0.000     0.000     2646   Gem::Specification#platform 
  0.14      0.004     0.004     0.000     0.000     1274   Hash#values 
  0.14      0.011     0.004     0.000     0.007     1568   NoMethodError#initialize 
  0.13      0.004     0.004     0.000     0.000      882   String#scan 
  0.13      0.690     0.004     0.000     0.686     2156  *Array#map 
  0.13      1.358     0.004     0.000     1.355       98   Array#reverse_each 
  0.13      0.004     0.004     0.000     0.000     1180   <Class::Gem::Specification>#_all 
  0.13      0.007     0.004     0.000     0.003     1568   NameError#initialize 
  0.12      0.005     0.004     0.000     0.002      884   Array#join 
  0.12      0.004     0.004     0.000     0.000     1571   Exception#set_backtrace 
  0.11      0.003     0.003     0.000     0.000     2459   <Class::BasicObject>#allocate 
  0.11      0.003     0.003     0.000     0.000     1571   Exception#initialize 
  0.10      1.354     0.003     0.000     1.351     1862  *Gem::Specification#traverse 
  0.10      0.053     0.003     0.000     0.050     1470   Comparable#< 
  0.10      0.007     0.003     0.000     0.004      882   <Class::Gem::Version>#correct? 
  0.10      0.003     0.003     0.000     0.000      882   Gem::Version#prerelease? 
  0.09      0.003     0.003     0.000     0.000      882   String#=~ 
  0.09      0.027     0.003     0.000     0.024      934  *Class#new 
  0.09      0.006     0.003     0.000     0.004      884   Kernel#dup 
  0.08      0.002     0.002     0.000     0.000     1580   Exception#backtrace 
  0.08      0.002     0.002     0.000     0.000     2648   Kernel#nil? 
  0.08      0.005     0.002     0.000     0.003      882   Gem::Version#release 
  0.07      0.002     0.002     0.000     0.000     1568   Kernel#respond_to_missing? 
  0.07      0.002     0.002     0.000     0.000     1578   Exception#exception 
  0.07      0.002     0.002     0.000     0.000     1788   String#to_s 
  0.06      0.002     0.002     0.000     0.000     1490   <Class::File>#basename 
  0.06      0.003     0.002     0.000     0.001     1078   Array#include? 
  0.06      0.002     0.002     0.000     0.000     1472   String#to_i 
  0.06      0.002     0.002     0.000     0.000     1764   Kernel#class 
  0.06      0.002     0.002     0.000     0.000     1472   Fixnum#to_s 
  0.06      0.002     0.002     0.000     0.000     1568   String#<=> 
  0.06      2.977     0.002     0.000     2.975    51465  *Array#each 
  0.05      0.003     0.002     0.000     0.001      884   Kernel#initialize_dup 
  0.05      2.890     0.001     0.000     2.888      100  *Kernel#gem_original_require 
  0.04      0.001     0.001     0.000     0.000      882   String#strip! 
  0.04      0.001     0.001     0.000     0.000     1180   Kernel#block_given? 
  0.04      0.001     0.001     0.000     0.000     1178   Hash#empty? 
  0.04      0.001     0.001     0.000     0.000      882   Array#initialize_copy 
  0.04      0.001     0.001     0.000     0.000     1078   Symbol#to_proc 
  0.04      0.001     0.001     0.000     0.000     1078   String#== 
  0.03      0.001     0.001     0.000     0.000      882   Array#[]= 
  0.03      0.001     0.001     0.000     0.000      100   Mutex#synchronize 
  0.03      0.001     0.001     0.000     0.000      882   <Class::Array>#allocate 
  0.03      0.003     0.001     0.000     0.002        2   Hash#each 
  0.02      0.001     0.001     0.000     0.000      296   <Module::Gem>#unresolved_deps 
  0.02      2.975     0.001     0.000     2.974        9  *Module#const_get 
  0.02      0.001     0.001     0.000     0.001      139   Range#include_with_range? 
  0.01      0.001     0.000     0.000     0.000      100   ActiveSupport::Dependencies#load? 
  0.01      0.000     0.000     0.000     0.000       70   IO#set_encoding 
  0.01      0.001     0.000     0.000     0.000      100   ActiveSupport::Dependencies::WatchStack#watching? 
  0.01      0.000     0.000     0.000     0.000      346   Module#method_added 
  0.01      0.153     0.000     0.000     0.152      102   Enumerable#find 
  0.01      0.001     0.000     0.000     0.000      139   Range#include_without_range? 
  0.01      0.000     0.000     0.000     0.000       81   String#gsub 
  0.01      0.000     0.000     0.000     0.000      100   <Module::ActiveSupport::Dependencies>#mechanism 
  0.01      0.001     0.000     0.000     0.001      139   Range#=== 
  0.01      0.000     0.000     0.000     0.000      100   <Module::ActiveSupport::Dependencies>#constant_watch_stack 
  0.01      0.000     0.000     0.000     0.000        2   Range#each 
  0.01      0.002     0.000     0.000     0.001      100   SizedQueue#push 
  0.01      0.000     0.000     0.000     0.000       80   Module#const_set 
  0.01      0.000     0.000     0.000     0.000       21   Module#attr_reader 
  0.01      0.000     0.000     0.000     0.000       15   Module#attr_accessor 
  0.00      0.002     0.000     0.000     0.002        1   Integer#times 
  0.00      0.000     0.000     0.000     0.000      143   Kernel#is_a? 
  0.00      0.000     0.000     0.000     0.000       83   Class#inherited 
  0.00      2.977     0.000     0.000     2.977        1   NixonPi::NixieService#run! 
  0.00      0.000     0.000     0.000     0.000       40   Class#initialize 
  0.00      0.000     0.000     0.000     0.000       71   BasicObject#singleton_method_added 
  0.00      0.000     0.000     0.000     0.000        1   TCPServer#initialize 
  0.00      0.000     0.000     0.000     0.000       53   Hash#[]= 
  0.00      0.055     0.000     0.055     0.000        1   <Class::Socket>#gethostbyname 
  0.00      0.000     0.000     0.000     0.000      160   Integer#chr 
  0.00      0.000     0.000     0.000     0.000       35   Hash#fetch 
  0.00      0.000     0.000     0.000     0.000       80   Kernel#instance_variable_set 
  0.00      0.000     0.000     0.000     0.000      100   Mutex#lock 
  0.00      0.000     0.000     0.000     0.000      100   Array#push 
  0.00      0.000     0.000     0.000     0.000      100   Array#shift 
  0.00      0.000     0.000     0.000     0.000      100   Mutex#unlock 
  0.00      0.000     0.000     0.000     0.000        4   Time#strftime 
  0.00      0.000     0.000     0.000     0.000        3   WEBrick::HTTPUtils#_make_regex 
  0.00      0.000     0.000     0.000     0.000        9   Module#autoload 
  0.00      2.977     0.000     0.000     2.977        2  *<Class::Sinatra::Base>#run! 
  0.00      0.000     0.000     0.000     0.000       40   <Class::Class>#allocate 
  0.00      0.000     0.000     0.000     0.000        9   Module#include 
  0.00      0.000     0.000     0.000     0.000       25   Module#module_function 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Socket>#getaddrinfo 
  0.00      0.000     0.000     0.000     0.000        5   IO#write 
  0.00      0.000     0.000     0.000     0.000        7   Kernel#raise 
  0.00      0.000     0.000     0.000     0.000       40   String#upcase 
  0.00      0.000     0.000     0.000     0.000        9   <Module::Rack::Handler>#register 
  0.00      0.000     0.000     0.000     0.000        1   WEBrick::HTTPVersion#initialize 
  0.00      0.003     0.000     0.000     0.003        1   WEBrick::GenericServer#initialize 
  0.00      0.000     0.000     0.000     0.000        4   WEBrick::Log#log 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Sinatra::Base>#set 
  0.00      0.000     0.000     0.000     0.000        5   Kernel#respond_to? 
  0.00      0.000     0.000     0.000     0.000       42   Kernel#freeze 
  0.00      2.977     0.000     0.000     2.977        2  *<Class::Sinatra::Base>#detect_rack_handler 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Struct>#new 
  0.00      0.000     0.000     0.000     0.000        4   WEBrick::BasicLog#format 
  0.00      0.000     0.000     0.000     0.000        4   WEBrick::BasicLog#log 
  0.00      2.974     0.000     0.000     2.974      100  *Kernel#require 
  0.00      2.957     0.000     0.000     2.957       98  *<Class::Gem::Specification>#find_in_unresolved_tree 
  0.00      0.000     0.000     0.000     0.000        1   <Object::Object>#[] 
  0.00      0.000     0.000     0.000     0.000        9   <Class::Range>#allocate 
  0.00      2.975     0.000     0.000     2.975        3  *<Module::Rack::Handler>#get 
  0.00      0.000     0.000     0.000     0.000        3   String#split 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Socket>#gethostname 
  0.00      0.000     0.000     0.000     0.000        9   Module#append_features 
  0.00      2.974     0.000     0.000     2.974      100  *ActiveSupport::Dependencies::Loadable#load_dependency 
  0.00      0.000     0.000     0.000     0.000       16   Fixnum#* 
  0.00      0.000     0.000     0.000     0.000       11   Module#private 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#Array 
  0.00      2.969     0.000     0.000     2.969     1568  *Gem::Specification#method_missing 
  0.00      0.001     0.000     0.000     0.001        1   WEBrick::Utils#create_listeners 
  0.00      0.000     0.000     0.000     0.000        2   Hash#initialize_copy 
  0.00      0.000     0.000     0.000     0.000        4   <Class::Time>#now 
  0.00      0.055     0.000     0.000     0.055        1   WEBrick::Utils#getservername 
  0.00      0.000     0.000     0.000     0.000        3   Hash#include? 
  0.00      2.972     0.000     0.000     2.972       98  *<Class::Gem::Specification>#find_in_unresolved 
  0.00      0.000     0.000     0.000     0.000        2   Backports::StdLib::LoadedFeatures#include? 
  0.00      0.000     0.000     0.000     0.000        1   Queue#initialize 
  0.00      0.019     0.000     0.000     0.019        2   <Module::Gem>#try_activate 
  0.00      0.000     0.000     0.000     0.000        4   <Class::Regexp>#escape 
  0.00      2.975     0.000     0.000     2.975        3  *Enumerable#inject 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Singleton>#append_features 
  0.00      0.000     0.000     0.000     0.000        1   WEBrick::HTTPUtils#_make_regex! 
  0.00      0.000     0.000     0.000     0.000        9   Module#included 
  0.00      0.000     0.000     0.000     0.000        4   Time#initialize 
  0.00      0.000     0.000     0.000     0.000        2   Hash#update 
  0.00      0.000     0.000     0.000     0.000        1   SystemCallError#initialize 
  0.00      2.969     0.000     0.000     2.969      196  *Array#flatten 
  0.00      2.974     0.000     0.000     2.974      100  *ActiveSupport::Dependencies::Loadable#require 
  0.00      0.000     0.000     0.000     0.000        1   SizedQueue#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Module::RbConfig>#ruby 
  0.00      0.000     0.000     0.000     0.000        2   ActiveSupport::Dependencies::Blamable#blame_file! 
  0.00      0.000     0.000     0.000     0.000        4   Exception#message 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Singleton>#included 
  0.00      2.974     0.000     0.000     2.974      100  *Kernel#require_with_backports 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Singleton>#__init__ 
  0.00      0.000     0.000     0.000     0.000        3   Kernel#!~ 
  0.00      0.000     0.000     0.000     0.000        3   <Class::Hash>#allocate 
  0.00      0.000     0.000     0.000     0.000        2   WEBrick::BasicLog#info 
  0.00      0.000     0.000     0.000     0.000        8   Bignum#<=> 
  0.00      0.000     0.000     0.000     0.000        1   WEBrick::BasicLog#initialize 
  0.00      0.000     0.000     0.000     0.000        4   Fixnum#+ 
  0.00      0.000     0.000     0.000     0.000        5   Exception#to_s 
  0.00      0.005     0.000     0.000     0.005        2   Enumerable#group_by 
  0.00      0.000     0.000     0.000     0.000        3   IO#<< 
  0.00      0.000     0.000     0.000     0.000        4   <Class::Time>#allocate 
  0.00      0.005     0.000     0.000     0.005        2   Backports::StdLib::LoadedFeatures#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Module#private_class_method 
  0.00      0.000     0.000     0.000     0.000        3   Regexp#=~ 
  0.00      0.000     0.000     0.000     0.000        2   <Class::WEBrick::HTTPServlet::FileHandler>#add_handler 
  0.00      0.000     0.000     0.000     0.000        2   String#end_with? 
  0.00      0.000     0.000     0.000     0.000        8   Fixnum#divmod 
  0.00      0.003     0.000     0.000     0.003        1   <Class::Rack::Handler::WEBrick>#run 
  0.00      0.000     0.000     0.000     0.000        1   WEBrick::BasicLog#debug 
  0.00      0.000     0.000     0.000     0.000        4   Kernel#taint 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#extend 
  0.00      0.000     0.000     0.000     0.000        3   Mutex#initialize 
  0.00      0.000     0.000     0.000     0.000        1   WEBrick::Log#initialize 
  0.00      0.019     0.000     0.000     0.019        2   <Class::Gem::Specification>#find_by_path 
  0.00      0.000     0.000     0.000     0.000        2   <Class::NixonPi::WebServer>#port 
  0.00      0.000     0.000     0.000     0.000        4   String#to_str 
